,nom_entreprise,ville,royaume1,travail_description,type_travail,publication_date,job_requirement1
135,Boston Consulting Group,Perth WA 6000,Australie,Data Scientist – BCG X,,"Posted
Posted 30+ days ago","Explain sophisticated data science concepts in an understandable manner.
Significant experience applying advanced analytics to a variety of business situations…"
136,Transport For NSW,Hybrid remote in Macquarie Park NSW 2113,Australie,Data Engineer,,"Posted
Today","Scripting knowledge in Python or similar, application development, DBA administration including configuration and knowledge or experience in Data Governance…"
137,CSIRO,Toowoomba QLD 4350,Australie,Research Technician - Crop agronomy,,"Posted
Posted 2 days ago","Relevant trade certificate/diploma/bachelor’s degree or relevant work experience in agricultural science or similar.
A current Australian driver’s licence."
138,Finity,Sydney NSW,Australie,Graduate Data Analyst,,"Posted
Posted 10 days ago","Our consultants assist our clients with a wide range of banking & finance services including; pricing and customer & product insights, automation, risk &…"
139,Sahmriresearch,Greater Adelaide SA,Australie,Data Analyst,,"Posted
Posted 5 days ago","Undertake analyses, interpretation and reporting of clinical and epidemiological data, as well as contribute to overall data management and analysis strategies…"
140,TikTok,Sydney NSW,Australie,Product Data Scientist - TikTok Data Analysis - Australia,,"Posted
Posted 30+ days ago","Experience in data extraction, analysis and visualisation in a complex data environment, and have experiences in data landing to the business."
141,Xero,Hybrid remote in Sydney NSW,Australie,Data Engineer,,"Posted
Posted 12 days ago","Craft cutting-edge data pipelines and automation using Python and/or other programming or scripting languages.
Available from your first day."
142,"FTI Consulting, Inc.",Sydney NSW 2000,Australie,"Director, Privacy & Data Governance - Technology",,"Posted
Posted 7 days ago","2+ years providing governance in technology environments that leverage machine learning and AI.
Expert knowledge of APAC and EU data privacy and data protection…"
143,Abbott Laboratories,Sydney NSW,Australie,Medical Science Liaison,,"Posted
Posted 30+ days ago","Bachelor’s Degree in a health sciences field.
Minimum 5-8 years in a health sciences field.
Provide key thought leaders / external experts with scientific and…"
144,REA Group,Hybrid remote in Melbourne VIC,Australie,Senior Data Scientist,,"Posted
Posted 3 days ago","Proven relevant commercial experience in data science, ML engineering, or similar roles.
Actively participate in building REA’s reputation for data science and…"
145,Tibra,Sydney NSW,Australie,AI Architect,,"Posted
Posted 30+ days ago","Strong background in AI, machine learning, and software development.
Certification in AI, Machine Learning or similar.
Familiarity with large language models."
146,Openmesh Network,Remote,Australie,Big Data Intern (Data Processing and Analytics),,"Posted
Posted 30+ days ago","Xnode, enables developers to build their own decentralized data clouds with data connectivity, data APIs, and query & analytics engines in mere minutes, instead…"
147,SAS,Hybrid remote in Sydney NSW,Australie,Technical Intern - Sydney,,"Posted
Posted 30+ days ago",SAS employees performing certain job functions may require access to technology or software subject to export or import regulations.
148,Anton Murray Consulting,Sydney NSW,Australie,"Lead Analyst, Data Analytics",,"Posted
Posted 5 days ago","Advanced degree with analytical or quantitative elements.
The Lead Analyst, Data Analytics, is an advanced subject matter expert in data analysis, business…"
149,The Garvan Institute,Remote in Darlinghurst NSW,Australie,Data Analyst,,"Posted
Posted 30+ days ago","Scope and validate potential new technology applications to automate or streamline data processes.
Deliver targeted data for fundraising campaigns using SQL and…"
150,Accenture,Brisbane QLD,Australie,AI&ML Solution Architect,,"Posted
Posted 30+ days ago","Strong knowledge of data architecture, data modeling, and data integration concepts.
Bachelor's or Master's degree in Computer Science, Data Science, or a…"
151,Komatsu,Fairfield East NSW,Australie,Data Analyst,,"Posted
Posted 30+ days ago","Relevant tertiary qualification in Business Engineering or Computer Science or similar would be preferrable.
This is an excellent opportunity for an analytical…"
152,Atlassian,Remote in Sydney NSW 2000,Australie,Principal Technical Program Manager - Analytics Platform,,"Posted
Posted 2 days ago","This Principal Technical Program Manager will work with multiple engineering teams on initiatives involving data lakes, migrating data to new data lakes, and…"
153,University of Melbourne,Hybrid remote in Parkville VIC 3010,Australie,Research Data Specialist,,"Posted
Posted 2 days ago","A PhD or equivalent experience in research software development, data management and/or analysis.
Strong technical expertise in at least one of data collection,…"
154,Darktrace,Remote in Melbourne VIC,Australie,Analyst,,"Posted
Posted 7 days ago","Background in Science, Engineering or Computer Science.
Graduating from a Top University with a good GPA (2:1 or 2nd upper & above)."
155,Technology Recruiting Solutions,Melbourne VIC,Australie,BI/DW and Data Analytics Consultant,,"Posted
Posted 14 days ago","Degree qualified or comparable experience in Information Technology or related discipline.
Minimum 5+ years of experience in BI / Information Management…"
156,Reserve Bank of Australia,Sydney NSW,Australie,Business Data Lead,,"Posted
Posted 5 days ago","Being part of the hard-working team of data analysts, you will work closely with and support data analysts in maturing Financial Markets Group's data assets…"
157,ServiceNow,Remote in Sydney NSW 2000,Australie,Staff Data Engineer,,"Posted
Posted 19 days ago","Collaborates across the company’s multiple data teams to meet analytics deliverables.
Proven track record for developing/maintaining performance optimized data…"
158,Australia Post,Melbourne VIC 3000,Australie,OD Data & Reporting Specialist,,"Posted
Posted 8 days ago","Bachelor’s degree or higher in data and analytics or similar.
Significant experience in data, insights, and analytics within large organisations."
159,Accenture,Sydney NSW,Australie,"Solution Architect (Data Security, Data Governance, Data Management)",,"Posted
Posted 6 days ago",Data Security Cloud Solution Architects are trusted advisors for customers attempting to secure their entire data estates against internal and external data…
160,Big W,Bella Vista NSW 2153,Australie,Data & Insights Analyst | BIG W,,"Posted
Today","Produce data & reporting, alongside creating and sharing insights.
Produce data and reporting, alongside creating and sharing insights."
161,Visa,Sydney NSW,Australie,Campaign Analyst (Fixed Term),,"Posted
Posted 3 days ago","Extensive experience in using data driven analytics to develop dashboards, insights and recommendations.
2 or more years of work experience with a Bachelor’s…"
162,HiTech Personnel,Canberra ACT,Australie,Machine Learning Platform Engineer - Kubernetes - Python,,"Posted
Posted 30+ days ago",The role is well suited to someone with strong Software Engineering or Data Engineering expertise who has had some exposure to Machine Learning practices and…
163,Michael Page,Remote in Canberra ACT,Australie,Learning & Development,,"Posted
Posted 30+ days ago","Proficiency in learning management systems and e-learning platforms.
Strong analytic and data-driven decision-making abilities."
164,Bunnings,Hawthorn East VIC,Australie,Enterprise Data Architect,,"Posted
Posted 6 days ago","Additionally, you will also work closely with the Data and Analytics team to create a data-driven culture and improve data literacy across Bunnings."
165,TikTok,Sydney NSW,Australie,"Machine Learning Engineer - Trust and Safety, NLP (Australia)",,"Posted
Posted 30+ days ago","3+ years experience in one or more of the areas: machine learning, deep learning, computer vision, NLP, Audio, content understanding or participating in large…"
166,Westpac,Sydney NSW,Australie,Head of Group Financial Crime Monitoring & Analytics,,"Posted
Posted 2 days ago","We can provide reasonable adjustments for individuals with disability and/or neurodiversity.
You have a clear understanding of Financial Crime data risk…"
167,Greater Western Water,Footscray VIC,Australie,"Team Leader, Data Engineering",,"Posted
Posted 30+ days ago","Experience in EDW methodologies – data analysis, data modelling, data integration, data warehousing and database design.
Lead a dynamic team of data engineers."
168,Yellow Canary,Remote,Australie,Data Engineer,,"Posted
Posted 30+ days ago","Desirable skills include working knowledge of AWS data services, data platform concepts such as big data cloud storage, data warehouse processing, scheduling…"
169,WiseTech Global,Sydney NSW,Australie,Data Analyst in Sydney,,"Posted
Posted 30+ days ago","Basic knowledge of machine learning (E.g. Spark ML or Python ML).
Statistical analysis of data in multiple data sources, creating data profiles."
170,The Sydney Children's Hospitals Network,Sydney Western Suburbs NSW,Australie,SCHN - Data Engineer,,"Posted
Posted 1 day ago","The role will be responsible for bringing together data from a wide range of clinical, finance and workforce source systems into a consolidate environment to…"
