,nom_entreprise,ville,royaume1,travail_description,type_travail,publication_date,job_requirement1
119,G'day Group,Hybrid remote in Greater Adelaide SA,Australie,Customer Data Analyst - Remote,,"Posted
Posted 8 days ago","A Bachelor’s degree in a quantitative discipline (Mathematics, Statistics, Physics, Finance, Economics, Computer Science) along with working knowledge of data…"
120,CSIRO,Perth WA 6151,Australie,CSIRO Postdoctoral Fellowship in AI Based Decision Support in Fracture Diagnosis,,"Posted
Posted 30+ days ago","Do you have a PhD in computer science, medical image analysis, computer vision, data science, machine learning?"
121,Kaplan,Melbourne VIC,Australie,Computer Science Teacher,,"Posted
Posted 2 days ago","Proven ability to inspire and engage students at various learning levels.
Dedication to continuous learning and staying current with industry and academic…"
122,Charles Sturt University,Bathurst NSW 2795,Australie,Research Data Engineer,,"Posted
Posted 7 days ago","The position demands a level of quality and rigor, along with an awareness of data analytics and data science functions.
Work type: Fixed Term - Full Time."
123,Schools (Government),Melbourne VIC,Australie,Learning Specialist - Science Domain Leader (Learning Specialist Range 3),,"Posted
Posted 28 days ago",Demonstrated ability to support teachers to evaluate the impact of learning and teaching programs on student learning growth.
124,BNP Paribas,Sydney NSW,Australie,Data Analyst (Temporary),,"Posted
Posted 8 days ago","Lead and/or undertake data quality activities and initiatives where required.
Ability, the mutual aid network for employees with a disability or a disabling or…"
125,Murdoch Childrens Research Institute,Parkville VIC,Australie,Epidemiologist,,"Posted
Posted 5 days ago","(Desired) Medical or public health degree.
Perform epidemiological research, including data collection, cleaning and analysis."
126,Westpac Group,Hybrid remote in Sydney NSW,Australie,Data Scientist,,"Posted
Posted 9 days ago","Analytics, big data and data science platforms, tools (not limited to).
Project Ownership – self managing delivery in analytics, insights and data science…"
127,Essential Energy,Remote in New South Wales,Australie,Data Architect - Enterprise Information Model and Integration,,"Posted
Posted 6 days ago","Strong understanding of data governance and data quality principles.
Degree in Computer Science, Information Technology or Engineering or demonstrated…"
128,Accenture,Sydney NSW,Australie,Data Governance Lead,,"Posted
Posted 30+ days ago","Drive change management at adoption to promote data drive culture.
Help clients establish Data Governance Programs and to drive data ownership."
129,St John of God Health Care,Remote in Melbourne VIC,Australie,Data Architect,,"Posted
Posted 3 days ago","Construct and maintain comprehensive data models that illuminate data relationships, structures, and attributes, facilitating a clear understanding of the…"
130,Rio Tinto,Dampier WA,Australie,Track Machine Operator - Rail Network Renewals,,"Posted
Posted 9 days ago",Either rail maintenance experience OR good knowledge of rail operations and practices OR an Mechanical or Electrical trade background.
131,Orica,Hybrid remote in Melbourne VIC 3000,Australie,Market Research and Data Specialist,,"Posted
Today",You will utilize advanced analytics techniques to interpret and extract meaningful insights from complex data sets.
132,Avenir Consulting,Sydney NSW,Australie,BA - Data Analytics (Contract),,"Posted
Posted 30+ days ago","Ability to wrangle data via SAS, R, Python or SQL.
Co-ordination of business or IT teams, in delivering large data related change initiatives."
133,Talent International,Canberra ACT,Australie,Machine Learning Engineer,,"Posted
Posted 30+ days ago","Understanding of machine learning concepts and algorithms.
Data engineering and data wrangling.
Key knowledge, skills or experience areas include:"
134,"Regional Development, Manufacturing and Water",Brisbane QLD,Australie,Scientist (Geosciences/Hydrogeology/Data Science),,"Posted
Posted 27 days ago","A degree qualification in a relevant field such as geosciences, hydrogeology, groundwater modelling, geomechanical modelling, hydrology, engineering, remote…"
